Symbol;Quantity;Entry DT;Entry Price;Exit DT;Exit Price;ProfitLoss
MNQ;2;2026-01-06 17:35:22;25629.25;2026-01-06 17:51:31.186;25746.5;469
MNQ;1;2026-01-06 17:39:52;25638.75;2026-01-06 17:47:05.497;25702.75;128
MNQ;-2;2026-01-06 18:14:14;25756.5;2026-01-06 18:26:22.417;25778.5;-88
MNQ;-2;2026-01-06 18:14:22;25752.75;2026-01-06 18:25:25.492;25774.75;-88
MNQ;-4;2026-01-06 18:53:05;25707.75;2026-01-06 19:04:36.385;25660;382
MNQ;1;2026-01-07 17:29:51;25788.5;2026-01-07 17:34:26.483;25817.25;57.5
MNQ;3;2026-01-07 17:29:51;25788.5;2026-01-07 17:41:14.630;25844.5;336
MNQ;1;2026-01-07 17:58:23;25863.75;2026-01-07 18:39:04.605;25810.5;-106.5
MNQ;1;2026-01-07 19:58:23;25969.25;2026-01-07 21:15:56.798;25943;-52.5
MNQ;-1;2026-01-07 22:06:18;25942.75;2026-01-07 23:13:04.555;25882.25;121
MNQ;-3;2026-01-08 17:33:01;25749;2026-01-08 17:38:24.780;25681.5;405
MNQ;-2;2026-01-08 17:49:47;25651.75;2026-01-08 18:02:08.169;25572;319
MNQ;2;2026-01-09 17:45:16;25736.5;2026-01-09 18:07:22.652;25660;-306
MNQ;-1;2026-01-09 18:26:01;25818.25;2026-01-09 18:26:29.931;25812.75;11
MNQ;2;2026-01-09 19:47:19;25874.5;2026-01-09 21:36:00.399;25942;270
MNQ;1;2026-01-12 17:51:00;25906.5;2026-01-12 22:27:11.202;26003.25;193.5
MNQ;1;2026-01-12 17:51:00;25906.5;2026-01-12 23:57:00.977;25964.75;116.5
